# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE144236|spatial|Homo sapiens; Mus musculus|29|GSE144236_CAL27_counts.txt.gz(21MB), GSE144236_CAL27_vitro_counts.txt.gz(20MB), GSE144236_cSCC_counts.txt.gz(127MB), GSE144236_patient_metadata_new.txt.gz(649KB), GSE144236_SCC13_counts.txt.gz(11MB), GSE144236_XG_TME_counts.txt.gz(3MB)|cancer,aging,skin|Single Cell and Spatial Analysis of Human Squamous Cell Carcinoma [single-cell RNA-seq]|define cellular composition architecture tumor micoenvironment combined RNA-sequencing transcriptomics multiplexed ion-beam imaging patient cutaneous tumors site-matched normal skin|
GSE128350|spatial|Mus musculus; Danio rerio; Gallus gallus; Homo sapiens|27|GSE128350_RAW.tar(15MB), GSE128350_readme_demultiplexing.pdf(32KB), GSE128350_readme_sample_names_and_primers.xlsx(10KB)|development,cardiovascular,hematopoiesis|Multi-species tomo-sequencing identifies new major hematopoietic stem cell regulators in the microenvironment of the embryonic aorta|behavior cells regulated local biochemical biophysical interactions advance understanding molecular characteristics key components applied genome-wide RNA tomography approach zebrafish chicken mouse|
GSE147747|spatial|Mus musculus|75|GSE147747_expr_normalized_table.tsv.gz(1.9GB), GSE147747_expr_raw_counts_table.tsv.gz(156MB), GSE147747_meta_table.tsv.gz(1MB), GSE147747_RAW.tar(550MB)|neuroscience|Molecular Atlas of the Adult Mouse Brain|maps essential integrating information interpreting structure-function relationship circuits behavior aimed generate systematic classification organization unbiased extraction spatially-defining|
GSE149457|spatial|Gallus gallus|11|GSE149457_RAW.tar(70MB)|development,cardiovascular|Spatiotemporal single-cell RNA sequencing of developing chicken hearts identifies interplay between cellular differentiation and morphogenesis|powerful tool developmental biology preserve spatial information tissue morphology interactions combine transcriptomics algorithms integration development early late four-chambered stage create|
GSE156625|spatial|Homo sapiens; Mus musculus|78|GSE156625_HCCbarcodes.tsv.gz(129MB), GSE156625_HCCFbarcodes.tsv.gz(138MB), GSE156625_HCCFgenes.tsv.gz(259KB), GSE156625_HCCF_integrated.RData.gz(1.6GB), GSE156625_HCCFmatrix.mtx.gz(687MB), GSE156625_HCCFscanpyobj.h5ad.gz(1.1GB), GSE156625_HCCgenes.tsv.gz(259KB), GSE156625_HCCmatrix.mtx.gz(562MB), GSE156625_HCCscanpyobj.h5ad.gz(800MB), GSE156625_mousebarcodes.tsv.gz(222MB), GSE156625_mousefeatures.tsv.gz(245KB), GSE156625_mousematrix.mtx.gz(503MB), GSE156625_mousescanpyobj.h5ad.gz(806MB)|cancer,immunology,development,cardiovascular,metabolism,microbiology,liver|Onco-fetal reprogramming of endothelial cells drives immunosuppressive macrophages in Hepatocellular Carcinoma (scRNA-seq)|Liver dysfunction diseases ranging metabolic disorders carcinomas HCC employed single-cell RNA-sequencing extensively characterise landscape human development disease analysed 212 000 representing|
GSE151877|spatial|Homo sapiens|44|GSE151877_RAW.tar(19MB)|development,cardiovascular,kidney,hematopoiesis,cell_stress,signal_transduction|Parallel spatial transcriptomics, single-cell and bulk RNA-Seq analysis of the human embryonic HSC niche, the dorsal aorta|Haematopoietic stem cells HSCs first emerge aorta-gonad-mesonephros AGM region model organisms defined intersecting signalling pathways converge promote emergence predominantly ventral domain Much|
GSE153859|spatial|Mus musculus|6|GSE153859_CBS1.rds.gz(3.0GB), GSE153859_CBS2.rds.gz(3.1GB), GSE153859_MOB.rds.gz(790MB), GSE153859_RAW.tar(168MB)|neuroscience|The spatial landscape of gene expression isoforms in tissue sections|Mouse brain 10x Genomics Visium Transcriptomics profiles sequence either Illumina standard profiling Nanopore promethION long read sequencer full-length|
GSE153463|spatial|Homo sapiens|15|GSE153463_RAW.tar(3MB)|metabolism,fibrosis_wound,liver|SEAM is a spatial single nuclear metabolomics method for dissecting tissue microenvironment|report analyzing cell level human fibrotic liver samples novel hepatocyte subpopulation via transcriptomics modified protocol Geo-sea Geo-seq generated cDNA libraries Hepa69-high Proximal Hepa69-low|
GSE152989|spatial|Mus musculus; Pogona vitticeps|1200|GSE152989_LizardA_expression.tab.gz(945KB), GSE152989_LizardB_expression.tab.gz(1MB), GSE152989_LizardC_expression.tab.gz(1MB), GSE152989_LizardD_expression.tab.gz(836KB), GSE152989_LizardE_expression.tab.gz(989KB), GSE152989_Mouse10_expression.tab.gz(1MB), GSE152989_Mouse1_expression.tab.gz(821KB), GSE152989_Mouse2_expression.tab.gz(918KB), GSE152989_Mouse3_expression.tab.gz(822KB), GSE152989_Mouse4_expression.tab.gz(946KB), GSE152989_Mouse5_expression.tab.gz(892KB), GSE152989_Mouse6_expression.tab.gz(1MB), GSE152989_Mouse7_expression.tab.gz(592KB), GSE152989_Mouse8_expression.tab.gz(1MB), GSE152989_Mouse9_expression.tab.gz(747KB), GSE152989_new_suppl_files.tar.gz(6MB)|neuroscience,development,aging|A method for spatially resolved tissue transcriptomics applied to the mouse and lizard P. vitticeps brains|developed imaging-free framework localize nucleic acids within combining compressed sensing tissue-sampling strategy multi-angle-sectioning image reconstruction algorithm Initially cut consecutive|
GSE152506|spatial|Mus musculus|20|GSE152506_logCPM_counts.txt.gz(160MB), GSE152506_raw_counts.txt.gz(258MB)|immunology,neuroscience|Spatial Transcriptomics and In Situ Sequencing to Study Alzheimer’s Disease|While complex inflammatory-like alterations around amyloid plaques little molecular changes cellular interactions characterize response investigate mouse model transcriptional occurring tissue|
GSE140822|spatial|Mus musculus|14|GSE140822_counttable_allsamples.tsv.gz(3MB)|neuroscience,development,microbiology,cell_stress|Astrocyte layers in the mammalian cerebral cortex revealed by a single-cell in situ transcriptomic map|While organized six excitatory neuronal glial cells distinct layering developed high-content pipeline Large-area Spatial LaST quantify gene expression Screening candidate genes diversity across mouse|
GSE154107|spatial|Mus musculus|1|GSE154107_RAW.tar(9MB), GSE154107_Spatial_CLP_model.tar.gz(21MB)|infectious_disease,aging,kidney|The orchestrated cellular and molecular responses of the kidney to endotoxin define a precise sepsis timeline.|Clinical highly dynamic state progresses variable rates life-threatening consequences Staging patients along requires thorough knowledge evolution events tissue level organ central pathophysiology|
GSE161318|spatial|Mus musculus|3|GSE161318_RAW.tar(2.5GB)|fibrosis_wound,skeletal_muscle|Spatial RNA sequencing of regenerating mouse hindlimb muscle|report series transcriptomics datasets tissue generated 10x Genomics Visium platform|
GSE158450|spatial|Mus musculus|11|GSE158450_RAW.tar(1.9GB)|neuroscience,development,cell_stress,rna_biology,signal_transduction|Cell-type, single-cell, and spatial signatures of brain-region specific splicing in postnatal development|Alternative RNA varies across regions resolution regional variation unknown present first investigation differential isoform expression DIE performing long-read transcriptome sequencing mouse|
GSE155788|spatial|Mus musculus|4|GSE155788_RAW.tar(424MB)|neuroscience,cardiovascular|Mapping endothelial-cell diversity in cerebral cavernous malformations at single cell resolution|CCM rare neurovascular disease characterized enlarged irregular blood vessels often lead hemorrhage Loss-of-function mutations three genes lesion namely CCM1 CCM2 CCM3 report first time in-depth|
GSE145170|spatial|Mus musculus|2|GSE145170_RAW.tar(59MB)|fibrosis_wound,kidney,cell_stress|Decoding myofibroblast origins in human kidney fibrosis [RNA-seq]|hallmark chronic disease progression currently antifibrotic therapies exist largely because functional heterogeneity regulation scar-forming cells poorly understood single cell profiled|
GSE166948|spatial|Mus musculus|6|GSE166948_RAW.tar(70MB)|immunology,skin,cell_stress|Interleukin-17 governs hypoxic adaptation of injured epithelium [spatial transcriptomics]|define gene signature architecture skin injury mouse unwounded wounded|
GSE160137|spatial|Mus musculus|4|GSE160137_RAW.tar(14MB)|development,crispr_gene_editing|Single cell- Cluster-RNA seq and Spatial Transcriptomics from the trunk of mouse embryos of different genotypes (wild type, Pax2-GFP, Pax2-GFP; Gata3 knockout) and developmental stages (E8.75, E9.5, E11.5) [Spatial Transcriptomics]|heterogeneity state transitions developing urinary tract Pax2GFP 10X Genomics Visium Gene Expression protocol|
GSE160136|spatial|Mus musculus|5|GSE160136_50perc_Epcam_SC-6_repABC_filtered_feature_bc_matrix.h5(6MB), GSE160136_Pax2-GFP_SC-4_filtered_feature_bc_matrix.h5(23MB), GSE160136_Pax2-GFP_SC-5_filtered_feature_bc_matrix.h5(11MB)|development,kidney,crispr_gene_editing,cell_stress|Single cell- Cluster-RNA seq and Spatial Transcriptomics from the trunk of mouse embryos of different genotypes (wild type, Pax2-GFP, Pax2-GFP; Gata3 knockout) and developmental stages (E8.75, E9.5, E11.5) [single-cell RNA-seq]|heterogeneity state transitions developing urinary tract isolated renal cells clusters Fluorescence-activated sorting FACS embros 10X Genomics sequencing|
GSE144744|spatial|Homo sapiens|204|GSE144744_ADT_counts.tar.gz(42MB), GSE144744_ADT_integrated.tar.gz(153MB), GSE144744_metadata_per_cell.csv.gz(13MB), GSE144744_metadata_per_sample.csv.gz(3KB), GSE144744_RNA_counts.tar.gz(1.5GB), GSE144744_RNA_integrated.tar.gz(17.1GB), GSE144744_RNA_normalised.tar.gz(1.8GB), GSE144744_RNA_SCTnormalised.tar.gz(1.6GB), GSE144744_saverx_integrated.tar.gz(1.6GB), GSE144744_saverx.tar.gz(466MB)|immunology,neuroscience,gut_intestine,drug_response,microbiology,cell_stress|Identifying CNS-colonizing T cells as potential therapeutic targets to prevent progression of multiple sclerosis|Background autoimmune disease central nervous system suppressed early stages eventually becomes clinically progressive unresponsive therapy investigate resistance attributed chronic immune|
GSE165141|spatial|Mus musculus|12|GSE165141_RAW.tar(52MB), GSE165141_spot_ST_CN16_Liver_D1_0.1.tsv.gz(16KB), GSE165141_spot_ST_CN16_Liver_D2_0.1.tsv.gz(6KB), GSE165141_spot_ST_CN16_Liver_E1_0.1.tsv.gz(17KB), GSE165141_spot_ST_CN16_Liver_E2_0.1.tsv.gz(6KB), GSE165141_spot_ST_CN65_Liver_C1_0.1.tsv.gz(8KB), GSE165141_spot_ST_CN65_Liver_C2_0.1.tsv.gz(7KB), GSE165141_spot_ST_CN65_Liver_D1_0.1.tsv.gz(8KB), GSE165141_spot_ST_CN65_Liver_D2_0.1.tsv.gz(8KB), GSE165141_spot_ST_CN65_Liver_E1_0.1.tsv.gz(8KB), GSE165141_spot_ST_CN73_Liver_C1_0.1.tsv.gz(8KB), GSE165141_spot_ST_CN73_Liver_D1_0.1.tsv.gz(9KB), GSE165141_spot_ST_CN73_Liver_E2_0.1.tsv.gz(8KB)|metabolism,cell_stress,liver|Spatial Transcriptomics to define transcriptional patterns of zonation and structural components in the liver|Reconstruction heterogeneity single-cell profiling greatly advanced understanding transcriptome recent years global differences across lobular units elusive physical space implement perform sectioned|
GSE159697|spatial|Homo sapiens|2|GSE159697_RAW.tar(17MB)|cell_stress|Spatially resolved gene expression of human protate tissue slices treated with steroid hormones for 8 hours|prepard dissociated hman prostate single cells collected prepped RNA-seq Visium kit 5000 sequenced depth 50k cells/gene 2X150nt lane NovaSeq 6000 SpaceRanger alignment produce RAW files|
GSE156633|spatial|Mus musculus|10|GSE156633_RAW.tar(135MB)|cancer,neuroscience,development,infectious_disease|Combined single-cell and spatial transcriptomics reveal the precise cellular states of postnatal cerebellar granule cells and connection with medulloblastoma|progenitor/differentiation cerebellum many years Deregulation development pathogenesis reveals organization direct evidence showing similarity discrepancy normal tumorigenesis|
GSE158702|spatial|Homo sapiens|23|GSE158702_RAW.tar(1.5GB)|immunology,neuroscience,development,cardiovascular,gut_intestine|Spatiotemporal Analysis of Human Intestinal Development at Single Cell Resolution - scRNA-Seq|intestine understood link single-cell sequencing spatial transcriptomics characterize morphogenesis time identify 101 states novel epithelial mesenchymal progenitor populations programs linked key|
GSE158328|spatial|Homo sapiens|8|GSE158328_RAW.tar(214MB)|immunology,neuroscience,development,cardiovascular,gut_intestine|Spatiotemporal Analysis of Human Intestinal Development at Single Cell Resolution - Spatial Transcriptomics|intestine understood link single-cell RNA sequencing characterize morphogenesis time identify 101 states novel epithelial mesenchymal progenitor populations programs linked key morphogenetic|
GSE178758|spatial|Mus musculus|34|GSE178758_RAW.tar(207MB), GSE178758_scRNA-seq_processed.csv.gz(984KB)|development,fibrosis_wound,skin,drug_response,cell_stress|Integrated spatial multi-omics reveals fibroblast fate during tissue repair|skin injury fibrosis form scars composed dense extracellular matrix deposited fibroblasts therapeutic goal regenerative wound healing remained elusive part because principles programming adaptive|multiomics
GSE143413|spatial|Mus musculus; Homo sapiens|45|GSE143413_cell_barcode_Hippocampus_sample.csv.gz(146B), GSE143413_cell_barcode_sample.csv.gz(330B), GSE143413_UMI_count_Hippo_PIC.csv.gz(288KB), GSE143413_UMI_count_Low_input.csv.gz(486KB), GSE143413_UMI_count_NucSpeckle.csv.gz(239KB), GSE143413_UMI_count_StressGranule.csv.gz(214KB), GSE143413_UMI_rawCount.csv.gz(766KB)|cell_stress|High-depth spatial transcriptome analysis by photo-isolation chemistry|established profiling method coupled PIC allows determination expression profiles specifically photo-irradiated regions interest|
GSE171351|spatial|Homo sapiens|4|GSE171351_combined_visium.h5ad.gz(47MB), GSE171351_RAW.tar(68MB)|cancer,immunology,drug_response,cell_cycle|A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer|advent neoadjuvant NAC prior immune checkpoint revolutionized management1-7 stratification patients benefit most modalities major clinical challenge combine single nuclei RNA sequencing spatial|
GSE169379|spatial|Homo sapiens|30|GSE169379_HTO_demultiplexing_table.csv.gz(399B), GSE169379_HTO_tags.csv.gz(144B), GSE169379_MIBC_HTO.h5ad.gz(5MB), GSE169379_MIBC_snSeq.h5ad.gz(451MB), GSE169379_non_tumor_snSeq.h5ad.gz(84MB)|cancer,immunology,drug_response,cell_cycle|A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer|advent neoadjuvant NAC prior immune checkpoint revolutionized management1-7 stratification patients benefit most modalities major clinical challenge combine single nuclei RNA sequencing spatial|
