# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE76483|other_multiomics|Mus musculus|192|GSE76483_FPKM_table.txt.gz(2MB), GSE76483_matched_genebody_methylation.txt.gz(580KB), GSE76483_matched_promoter_methylation.txt.gz(469KB), GSE76483_Read_count_merged_table_GSM2099935-GSM2099952.txt.gz(298KB)|neuroscience,development|Simultaneous profiling of transcriptome and DNA methylome from a single cell|developed new sequencing method simultaneously sequence mouse DRG neurons|multiomics
GSE130711|other_multiomics|Homo sapiens|4238|GSE130711_RAW.tar(759.2GB)|immunology,development,epigenetics,gene_regulation|Simultaneous profiling of 3D genome structure and DNA methylation in single human cells|Dynamic chromatin conformation critical gene regulation development disease Despite complex tissues cell-type specific resolution challenging Recent efforts demonstrated epigenomic features resolved|multiomics
GSE131779|cite_seq|Homo sapiens|1|GSE131779_RAW.tar(3MB)|development,cardiovascular,skeletal_muscle,cell_stress|Single cell analysis of smooth muscle cell phenotypic modulation in vivo during disease in mice and humans [pooled TCF21 ChIPseq]|response various stimuli vascular cells SMCs de-differentiate proliferate migrate process phenotype modulated atherosclerosis influence coronary artery CAD risk clearly established RNA sequencing|multiomics
GSE131778|cite_seq|Homo sapiens|8|GSE131778_human_coronary_scRNAseq_wirka_et_al_GEO.txt.gz(22MB)|development,cardiovascular,skeletal_muscle,cell_stress|Single cell analysis of smooth muscle cell phenotypic modulation in vivo during disease in mice and humans [human scRNA-seq]|response various stimuli vascular cells SMCs de-differentiate proliferate migrate process phenotype modulated atherosclerosis influence coronary artery CAD risk clearly established sequencing|multiomics
GSE131777|cite_seq|Mus musculus|4|GSE131777_mouse_16wk_citeseq_ADT_wirka_et_al_GEO.txt.gz(59KB), GSE131777_mouse_16wk_citeseq_RNA_wirka_et_al_GEO.txt.gz(13MB)|development,cardiovascular,skeletal_muscle,cell_stress|Single cell analysis of smooth muscle cell phenotypic modulation in vivo during disease in mice and humans [mouse CITE-seq]|response various stimuli vascular cells SMCs de-differentiate proliferate migrate process phenotype modulated atherosclerosis influence coronary artery CAD risk clearly established RNA sequencing|multiomics
GSE131776|cite_seq|Mus musculus|18|GSE131776_mouse_scRNAseq_wirka_et_al_GEO.txt.gz(56MB)|development,cardiovascular,skeletal_muscle,cell_stress|Single cell analysis of smooth muscle cell phenotypic modulation in vivo during disease in mice and humans [mouse scRNA-seq]|response various stimuli vascular cells SMCs de-differentiate proliferate migrate process phenotype modulated atherosclerosis influence coronary artery CAD risk clearly established sequencing|multiomics
GSE130399|multiome|Mus musculus; Homo sapiens|16|[GEO:BEDPE]|epigenetics,skeletal_muscle,gene_regulation|An ultra high-throughput method for single-cell joint analysis of open chromatin and transcriptome|Simultaneous profiling accessibility within cells powerful approach dissect gene regulatory programs complex tissues current tools limited modest now describe Paired-seq parallel accessible millions|multiomics
GSE130117|other_multiomics|Homo sapiens; synthetic construct|22|GSE130117_RAW.tar(86MB), GSE130117_README.md.txt(3KB)|development,cell_stress,rna_biology|Simultaneous measurement of DNA repair activities and mRNA abundance in single cells|New methods static proteins rapidly transforming biology insight dynamic cellular precluding complete understanding heterogeneity developed method enzymatic simultaneously enzyme expression|multiomics
GSE135325|cite_seq|Homo sapiens|6|GSE135325_AbSeq_38plex.fasta.gz(989B), GSE135325_AbSeq_41plex.fasta.gz(1004B), GSE135325_AbSeq_Stim.fasta.gz(511B), GSE135325_BD_Rhapsody_T_Cell_Expression_Panel_Hs.fasta.gz(30KB), GSE135325_Donor_3_SampleSheet.csv.gz(101B), GSE135325_PBMC_Rhapsody_amplicons.fasta.gz(59KB), GSE135325_RAW.tar(15MB)|immunology,development|A targeted multi-omic analysis approach measures protein expression and low abundance transcripts on the single cell level|High throughput single-cell RNA sequencing sc-RNAseq become frequently tool assess immune heterogeneity Recently combined measurement developed commonly CITE-Seq Acquisition along transcriptome|multiomics
GSE146826|cite_seq|Homo sapiens; synthetic construct|5|GSE146826_DMF5.csv.gz(73B), GSE146826_NB_barcodes.csv.gz(633B), GSE146826_RAW.tar(210KB), GSE146826_viral_barcodes.csv.gz(711B)|immunology|High Throughput pMHC-I Tetramer Library Production Using Chaperone Mediated Peptide Exchange|technologies essential generation pMHC-multimer libraries probing diverse polyclonal TCR repertoires various settings report molecular TAPBPR robust method capture stable empty molecules readily|multiomics
GSE138156|cite_seq|Macaca mulatta|2|GSE138156_cell_information.csv.gz(487KB), GSE138156_RAW.tar(82MB)|immunology,infectious_disease|Vaccine-induced tissue resident memory T cells and antibodies synergize to prevent mucosal HIV infection [CITE-seq]|measures single RNA protein expression Gag stimulated non-stimulated vaginal four SIV-protected rhesus macaques|multiomics
GSE144434|cite_seq|Homo sapiens|1|GSE144434_RAW.tar(15MB)|development,eye_vision|CITEseq of human PBMC from healthy adult blood|development single cell transcriptomic technologies yields large datasets comprising multimodal informations transcriptomes immunophenotypes Currently software easily simultaneously analyze types|multiomics
GSE143363|cite_seq|Homo sapiens|2|GSE143363_cell_metadata.tsv.gz(209KB), GSE143363_count_matrix.tsv.gz(11MB)|cancer,hematopoiesis|CITE-seq (cellular indexing of transcriptomes and epitopes by sequencing) of paired diagnosis and relapse specimens from acute myeloid leukemia (AML) patients treated with venetoclax plus azacitidine|understand related therapy|multiomics
GSE143647|other_multiomics|Homo sapiens|4|GSE143647_RAW.tar(206MB)|cancer,epigenetics,skeletal_muscle|Joint Profiling of Chromatin Accessibility and CAR-T Integration Site Analysis at Population and Single-cell Levels|SuperSeries composed SubSeries listed|multiomics
GSE143646|other_multiomics|Homo sapiens|2|GSE143646_RAW.tar(206MB)|cancer,immunology,development,epigenetics,infectious_disease,skeletal_muscle|Joint Profiling of Chromatin Accessibility and CAR-T Integration Site Analysis at Population and Single-cell Levels II|report development novel method called EpiVIA https github com/VahediLab/epiVIA lentiviral validate technique clonal cells previously defined sites further ability measure host viral genomes|multiomics
GSE143645|other_multiomics|Homo sapiens|2|GSE143645_RAW.tar(10KB)|cancer,immunology,development,epigenetics,infectious_disease,skeletal_muscle|Joint Profiling of Chromatin Accessibility and CAR-T Integration Site Analysis at Population and Single-cell Levels I|report development novel method called EpiVIA https github com/VahediLab/epiVIA lentiviral validate technique clonal cells previously defined sites further ability measure host viral genomes|multiomics
GSE143636|spatial_multiomics|Mus musculus|2|GSE143636_Mouse_skeletal_muscle_gene_counts.csv.gz(5MB)|skeletal_muscle|Proteogenomic single cell analysis of skeletal muscle myocytes|Background evolved slow fast-twitch types functionally distinct differential gene protein expression understanding complexity variation myofibers unknown Methods deep whole RNA-seq intact fragments|multiomics
GSE141299|other_multiomics|Homo sapiens|11|GSE141299_RAW.tar(43MB)|cancer|The effects of chromosomal copy number variations (CNV) on transcriptional programs at single cell resolution in multiple myeloma|Chromosome near-universal feature cancer specific cellular poorly understood Single-cell RNA sequencing scRNA-seq reveal gene expression cannot directly link CNVs report normalization methods improve|multiomics
GSE153056|cite_seq|Homo sapiens|14|[GEO:CSV, TSV]|cancer,immunology,development,crispr_gene_editing,drug_response,cell_cycle,signal_transduction|Characterizing the molecular regulation of inhibitory immune checkpoints with multi-modal single-cell screens.|expression molecules PD-L1 frequently human cancers lead suppression T-cell mediated responses apply ECCITE-seq technology combines pooled CRISPR mRNA surface protein measurements explore networks|multiomics
GSE153358|cite_seq|Homo sapiens|4|GSE153358_counts.adt.normalized.csv.gz(3MB), GSE153358_counts.adt.raw.csv.gz(2MB), GSE153358_counts.rna.normalized.csv.gz(205MB), GSE153358_counts.rna.raw.csv.gz(71MB), GSE153358_metadata.csv.gz(959KB), GSE153358_RAW.tar(761MB)|cancer,immunology,skeletal_muscle,hematopoiesis|The Evolving Immune Microenvironment of Human B-cell Acute Lymphoblastic Leukemia [CITE-Seq]|Single-cell RNA-seq primary bone marrow populations isolated B-ALL patient samples matched diagnosis remission relapse healthy donor|multiomics
GSE131098|other_multiomics|Homo sapiens; Mus musculus|126|GSE131098_RAW.tar(9.3GB)|development,epigenetics,microbiology|Hammer-seq to measure kinetics of DNA methylation maintenance in HeLa cells|Simultaneous measurement status parent daughter strands newly replicated single molecule level experimentally achieved essential measurements base genome wide achieve developed new method termed|multiomics
GSE148665|cite_seq|Homo sapiens|2|GSE148665_RAW.tar(2MB)|skeletal_muscle|BREM-SC: A Bayesian Random Effects Mixture Model for Joint Clustering Single Cell Multi-omics Data|Droplet-based transcriptome sequencing scRNA-seq technology able measure gene expression tens thousands cells simultaneously More recently coupled cutting-edge Cellular Indexing Transcriptomes|multiomics
GSE149574|other_multiomics|Homo sapiens|18|[GEO:MTX, PDF, TAR, TSV, TXT, XLSX]||Prox-seq: Simultaneous quantification of proteins, protein complexes and mRNA in single-cells via proximity-sequencing|novel assay ligation high-throughput present method measurement individual utilizes deep barcoded assays measure pairwise combinations targeted without prior knowledge|multiomics
GSE150599|cite_seq|Mus musculus|4|GSE150599_RAW.tar(908MB), GSE150599_SLN111_barcodes.tsv.gz(100KB), GSE150599_SLN111_features.tsv.gz(254KB), GSE150599_SLN111_matrix.mtx.gz(111MB), GSE150599_SLN208_barcodes.tsv.gz(98KB), GSE150599_SLN208_features.tsv.gz(254KB), GSE150599_SLN208_matrix.mtx.gz(116MB)|kidney,skeletal_muscle|Joint probabilistic modeling of paired transcriptome and proteome measurements in single cells [CITE-seq of mouse spleen and lymph nodes]|RNA surface protein abundance promising approach connect transcriptional variation phenotypes modality exhibits unique technical biases making challenging conduct combine two views unified|multiomics
GSE137476|cite_seq|Mus musculus|2|GSE137476_RAW.tar(48MB)|development,epigenetics,hematopoiesis,gene_regulation|Dissection of the 4D chromatin structure of the alpha-globin locus through in vivo erythroid differentiation with extreme spatial and temporal resolution [CITE-seq]|Precise gene expression patterns mammalian development controlled regulatory elements non-coding genome Active enhancer interact promoters within Topologically Associating Domains TADs relationships|multiomics
GSE142341|cite_seq|Mus musculus|14|GSE142341_ADT.Gfi1-Het.txt.gz(90KB), GSE142341_ADT.Gfi1-K403R-Het.txt.gz(46KB), GSE142341_ADT.Gfi1-R412X-Het.txt.gz(81KB), GSE142341_ADT.Gfi1-R412X-Irf8.txt.gz(96KB), GSE142341_ADT.Gfi1-R412X-R412X.txt.gz(105KB), GSE142341_ADT.Gfi1-WT.txt.gz(78KB), GSE142341_clusters.Gfi1-Het.txt.gz(27KB), GSE142341_clusters.Gfi1-K403R-Het.txt.gz(13KB), GSE142341_clusters.Gfi1-R412X-Het.txt.gz(27KB), GSE142341_clusters.Gfi1-R412X-Irf8.txt.gz(29KB), GSE142341_clusters.Gfi1-R412X-R412X.h5.txt.gz(34KB), GSE142341_clusters.Gfi1-WT.txt.gz(26KB), GSE142341_RNA.Gfi1-Het.h5(17MB), GSE142341_RNA.Gfi1-K403R-Het.h5(8MB), GSE142341_RNA.Gfi1-R412X-Het.h5(19MB), GSE142341_RNA.Gfi1-R412X-Irf8.h5(20MB), GSE142341_RNA.Gfi1-R412X-R412X.h5(22MB), GSE142341_RNA.Gfi1-WT.h5(16MB)|development|Mouse models of neutropenia reveal progenitor-stage-specific defects [CITE-Seq]|Advances genetics sequencing lead deluge disease-associated disease-causing genetic alterations Resolving causality disease requires generating accurate molecular dissection rapid expansion|multiomics
GSE120365|cite_seq|Mus musculus|3|GSE120365_Combined-counts.txt.gz(33MB), GSE120365_GMP-P_CITE-Seq-ADT-CLR.txt.gz(329KB), GSE120365_GMP-P_CITE-Seq-ADT-UMI.txt.gz(157KB), GSE120365_GMP-P_CITE-Seq-clusters.txt.gz(69KB)|cancer,hematopoiesis,gene_regulation|A neutropenia-associated transcription factor mutation differentially impacts target genes in the cell-states traversed during granulocyte specification and commitment [CITE-seq-GMP-WT]|Advances genetics sequencing lead deluge disease-associated disease-causing genetic alterations Resolving causality disease requires generating accurate models molecular dissection rapid expansion|multiomics
GSE157660|multiome|Homo sapiens; Mus musculus|12|GSE157660_human.snare2-atac.matrix.tar.gz(86MB), GSE157660_human.snare2-rna.matrix.tar.gz(121MB), GSE157660_mouse.snare2-atac.matrix.tar.gz(8MB), GSE157660_mouse.snare2-rna.matrix.tar.gz(15MB)|development,epigenetics|Scalable Dual-omic Profiling with Single-nucleus Chromatin Accessibility and mRNA Expression Sequencing 2 (SNARE-seq2)|perform benchmark experiments cell lines develop assess performance method generating matched profiles|multiomics
GSE156478|other_multiomics|Mus musculus; Homo sapiens|52|GSE156478_RAW.tar(19.4GB)|epigenetics,skeletal_muscle|High throughput joint profiling of chromatin accessibility and protein levels in single cells|SuperSeries composed SubSeries listed|multiomics
GSE156477|cite_seq|Homo sapiens|3|GSE156477_RAW.tar(4.9GB)|immunology,epigenetics,skeletal_muscle|High throughput joint profiling of chromatin accessibility and protein levels in single cells [marrow]|Recent technological advances enabled massively parallel single-cell Assay Transposase Accessible sequencing scATAC-seq simultaneously profile epigenomic landscape thousands individual methods sample|multiomics
GSE156476|cite_seq|Homo sapiens|5|GSE156476_RAW.tar(1.9GB)|immunology,epigenetics,skeletal_muscle|High throughput joint profiling of chromatin accessibility and protein levels in single cells [Tcell KO]|Recent technological advances enabled massively parallel single-cell Assay Transposase Accessible sequencing scATAC-seq simultaneously profile epigenomic landscape thousands individual methods sample|multiomics
GSE156475|cite_seq|Homo sapiens; Mus musculus|4|GSE156475_RAW.tar(847MB)|immunology,epigenetics,skeletal_muscle|High throughput joint profiling of chromatin accessibility and protein levels in single cells [Species mix]|Recent technological advances enabled massively parallel single-cell Assay Transposase Accessible sequencing scATAC-seq simultaneously profile epigenomic landscape thousands individual methods sample|multiomics
GSE156474|cite_seq|Homo sapiens|14|GSE156474_RAW.tar(3.8GB)|immunology,epigenetics,skeletal_muscle|High throughput joint profiling of chromatin accessibility and protein levels in single cells [PBMCs]|Recent technological advances enabled massively parallel single-cell Assay Transposase Accessible sequencing scATAC-seq simultaneously profile epigenomic landscape thousands individual methods sample|multiomics
GSE156473|cite_seq|Homo sapiens|8|GSE156473_RAW.tar(2.1GB)|immunology,epigenetics,skeletal_muscle|High throughput joint profiling of chromatin accessibility and protein levels in single cells [PBMC stimulation]|Recent technological advances enabled massively parallel single-cell Assay Transposase Accessible sequencing scATAC-seq simultaneously profile epigenomic landscape thousands individual methods sample|multiomics
GSE156057|cite_seq|Mus musculus|10|GSE156057_aggrCd45pos_filtered_feature_bc_matrix.h5(155MB), GSE156057_RAW.tar(295MB)|immunology,metabolism,skeletal_muscle,microbiology,liver|Osteopontin expression identifies a subset of recruited macrophages distinct from Kupffer cells in the fatty liver. [Single cell RNA Seq]|CITE-seq total CD45 isolated livers mice fed standard diet western cholesterol sugar weeks sequencing|multiomics
GSE156052|cite_seq|Mus musculus|35|GSE156052_RAW.tar(8MB)|immunology,metabolism,skeletal_muscle,microbiology,liver|Osteopontin expression identifies a subset of recruited macrophages distinct from Kupffer cells in the fatty liver. [Bulk RNA Seq]|CITE-seq total CD45 isolated livers mice fed standard diet western cholesterol sugar weeks single sequencing|multiomics
GSE155673|cite_seq|Homo sapiens|24|GSE155673_barcodes.tsv.gz(23KB), GSE155673_cov01_barcodes.tsv.gz(23KB), GSE155673_cov01_matrix.mtx.gz(33MB), GSE155673_cov02_barcodes.tsv.gz(10KB), GSE155673_cov02_matrix.mtx.gz(13MB), GSE155673_cov03_barcodes.tsv.gz(32KB), GSE155673_cov03_matrix.mtx.gz(45MB), GSE155673_cov04_barcodes.tsv.gz(13KB), GSE155673_cov04_matrix.mtx.gz(19MB), GSE155673_cov07_barcodes.tsv.gz(28KB), GSE155673_cov07_matrix.mtx.gz(43MB), GSE155673_cov08_barcodes.tsv.gz(28KB), GSE155673_cov08_matrix.mtx.gz(41MB), GSE155673_cov09_barcodes.tsv.gz(25KB), GSE155673_cov09_matrix.mtx.gz(36MB), GSE155673_cov10_barcodes.tsv.gz(24KB), GSE155673_cov10_matrix.mtx.gz(22MB), GSE155673_cov11_barcodes.tsv.gz(40KB), GSE155673_cov11_matrix.mtx.gz(55MB), GSE155673_cov12_barcodes.tsv.gz(27KB), GSE155673_cov12_matrix.mtx.gz(33MB), GSE155673_cov17_barcodes.tsv.gz(46KB), GSE155673_cov17_matrix.mtx.gz(70MB), GSE155673_cov18_barcodes.tsv.gz(31KB), GSE155673_cov18_matrix.mtx.gz(44MB), GSE155673_features.tsv.gz(298KB), GSE155673_totalseq_a_hto.csv.gz(1KB)|immunology,infectious_disease|Systems biological assessment of immunity to severe and mild COVID-19 infections|CITE-seq patients healthy controls|multiomics
