# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE60682|atac_seq|Homo sapiens|58|GSE60682_mergePeaksNormal.bed.gz(724KB), GSE60682_RAW.tar(23MB)|immunology,epigenetics|Individuality and variation of personal regulomes in human T cells|surveyed dynamics active regulatory elements genome-wide CD4 Assay Transposase Accessible Chromatin sequencing ATAC-seq longitudinal samples healthy volunteers activation created robust pipelines|
GSE65360|atac_seq|Mus musculus; Homo sapiens|1632|GSE65360_single-BJ.peaks.bed.gz(405KB), GSE65360_single-EML.peaks.bed.gz(399KB), GSE65360_single-GM12878.peaks.bed.gz(405KB), GSE65360_single-H1ESC.peaks.bed.gz(406KB), GSE65360_single-HL60.peaks.bed.gz(400KB), GSE65360_single-K562.peaks.bed.gz(399KB), GSE65360_single-mESC.peaks.bed.gz(404KB), GSE65360_single-TF1.peaks.bed.gz(402KB)|cancer,immunology,development,epigenetics|Single-cell chromatin accessibility data using scATAC-seq|Cell-to-cell variation universal feature life impacts wide range biological phenomena developmental plasticity tumor heterogeneity While recent advances improved ability document cellular phenotypic|
GSE64175|atac_seq|Homo sapiens|28|GSE64175_RAW.tar(4.5GB)|immunology,neuroscience,epigenetics,infectious_disease,microbiology|Bacterial Infection Remodels the DNA Methylation Landscape of Human Dendritic Cells (ChIP-Seq)|epigenetic mark thought robust environmental perturbations short time scale challenge view demonstrating live pathogenic rapid changes levels thousands loci integrated genome-wide histone patterns|
GSE64173|atac_seq|Homo sapiens|2|GSE64173_RAW.tar(440MB)|immunology,neuroscience,epigenetics,infectious_disease,microbiology|Bacterial Infection Remodels the DNA Methylation Landscape of Human Dendritic Cells (ATAC-Seq)|epigenetic mark thought robust environmental perturbations short time scale challenge view demonstrating live pathogenic rapid changes levels thousands loci integrated genome-wide histone patterns|
GSE67298|atac_seq|Mus musculus|4|GSE67298_RAW.tar(6MB)|development,epigenetics|Frequent and Transient Acquisition of Pluripotency During Somatic Cell Trans-Differentiation with iPSCs Reprogramming Factors (ATAC-Seq)|Recent reports proposed new paradigm obtaining mature types fibroblasts without going pluripotent state briefly expressing canonical Oct4 Sox2 Klf4 c-Myc abbreviated OSKM cells expanded lineage|
GSE68104|atac_seq|Homo sapiens|43|GSE68104_RAW.tar(94MB)|cancer,epigenetics,reproduction|Cell Type Specific Enrichment Of Risk Associated Regulatory Elements At Ovarian Cancer Susceptibility Loci|Understanding landscape human genome central question complex trait genetics Most single nucleotide polymorphisms SNPs lie non protein-coding regions implicating DNA functional targets variants|
GSE67586|atac_seq|Mus musculus|12|GSE67586_RAW.tar(110MB)|metabolism,epigenetics|Genome-wide localization maps of JMJD1A, SWI/SNF components, and PPARγ in brown adipocytes treated with isoproterenol|analyzed ChIP-seq profiles H3K4me3 H3K27ac BRG1 ARID1A FAIRE-seq open chromatin profile immortalized iBATs isporoterenol vehicle|
GSE54971|atac_seq|Homo sapiens|6|GSE54971_dynamic_FAIRE_hotspots.bed.gz(21KB), GSE54971_FAIRE_diffreps_FDR2.5.txt.gz(472KB), GSE54971_fseq_foam_cells.bed.gz(2MB), GSE54971_fseq_macrophages.bed.gz(2MB)|immunology,epigenetics,microbiology|Formaldehyde-assisted isolation of regulatory elements with next generation sequencing (FAIRE-seq) in primary human macrophages and foam cells|report open chromatin landscape|
GSE65478|atac_seq|Homo sapiens|26|GSE65478_RAW.tar(2.8GB)|cancer,development,epigenetics,cell_stress|Androgen Receptor profiling in tumor specimens yields hallmarks of prostate cancer outcome|most prevalent malignancy Biomarkers prediction urgently needed since high-risk patients benefit additional therapy early stages disease greatly increasing chance cure identify prognostic markers|
GSE61735|atac_seq|Homo sapiens|2|GSE61735_HUVEC_HT-FAIRE_peaks.bed.gz(3MB)|cancer,epigenetics,drug_response,gene_regulation,signal_transduction|High-throughput small molecule screen identifies inhibitors of aberrant chromatin accessibility|Mutations chromatin-modifying proteins transcription factors commonly wide variety cancers gain loss-of-function characteristic alterations accessible indicative shifts landscape regulatory elements|
GSE73215|atac_seq|Mus musculus|8|GSE73215_RAW.tar(8MB)|cancer,development,epigenetics,hematopoiesis,gene_regulation|Dose-dependent role of the cohesin complex in normal and malignant hematopoiesis [ATAC-Seq]|members recently putative tumor suppressors hematologic epithelial malignancies guides chromosome segregation cohesin-mutant leukemias genomic instability hypothesized reduced alters chromatin|
GSE69177|atac_seq|Drosophila melanogaster|23|GSE69177_RAW.tar(5.3GB)|epigenetics,cell_stress,gene_regulation|Genome-wide profiling of nucleosome sensitivity and chromatin accessibility in D. melanogaster [MNase]|structure positioning play pivotal gene regulation DNA repair other essential processes eukaryotic cells Nucleosomal thought uniformly inaccessible binding processing factors varies Digestion|
GSE72367|atac_seq|Mus musculus|4|GSE72367_Ren.bw(361MB), GSE72367_Stag2.bw(408MB)|epigenetics,kidney|ATAC-sequencing in control and Stag2 knockdown cells|LSK Lin neg c-Kit Sca-1 shRNA mice carrying either Renilla|
GSE57436|atac_seq|Homo sapiens|20|GSE57436_H2A.Z_E2_q10_nodup_rep1-2_MCF7_hg18_norm.bw(1.9GB), GSE57436_H2A.Z_EtOH_q10_nodup_rep1-2_MCF7_hg18_norm.bw(1.9GB), GSE57436_H3K27ac_E2_q10_nodup_rep1-2_MCF7_hg18_norm.bw(1.7GB), GSE57436_H3K27ac_EtOH_q10_nodup_rep1-2_MCF7_hg18_norm.bw(1.6GB), GSE57436_H3K4me1_E2_q10_nodup_rep1-2_MCF7_hg18_norm.bw(1.9GB), GSE57436_H3K4me1_EtOH_q10_nodup_rep1-2_MCF7_hg18_norm.bw(1.9GB), GSE57436_H3K4me3_E2_q10_nodup_rep1-2_MCF7_hg18_norm.bw(1.5GB), GSE57436_H3K4me3_EtOH_q10_nodup_rep1-2_MCF7_hg18_norm.bw(1.5GB), GSE57436_Input_q10_nodup_rep1-2_MCF7_hg18_norm.bw(2.1GB)|immunology,epigenetics,gene_regulation|The histone variant H2A.Z is an important regulator of enhancer activity.|Gene regulatory programs different cell types largely defined cell-specific enhancers play transcription mainly controlling proximal promoters effect genome-wide approaches present subset active|
GSE71688|atac_seq|Mus musculus|2|GSE71688_RAW.tar(1.0GB)|cancer,development,epigenetics,hematopoiesis|Hematopoietic differentiation is required for initiation of acute myeloid leukemia [ATAC-seq]|initiating cells LICs AML arise self-renewing stem HSCs committed progenitors leukemia-associated oncogenes instruct LIC formation origins along normal hierarchy murine models driver mutations|
GSE63573|atac_seq|Mus musculus|1|GSE63573_RAW.tar(990KB)|development,epigenetics,skeletal_muscle,gene_regulation|Transcription factor Runx1 cooperates with MyoD and c-Jun to regulate the balance of myoblast proliferation/differentiation [ATAC-Seq]|expressed regenrating muscle specifically adult stem cells satellite exact target genes report genome wide open chromatin paatern established|
GSE70973|atac_seq|Homo sapiens|15|GSE70973_RAW.tar(28MB)|immunology,epigenetics,crispr_gene_editing,gene_regulation|Highly specific epigenome editing by CRISPR-Cas9 repressors for silencing of distal regulatory elements|CRISPR/Cas9 platform promising technology modulate gene expression direct cell phenotype dissect causal epigenetic regulation Fusions nuclease-inactive dCas9 KRAB domain dCas9-KRAB effectively|
GSE67633|atac_seq|Homo sapiens|12|GSE67633_RAW.tar(470KB)|cancer,development,epigenetics,hematopoiesis,plant_biology|Epigenetic determinants of self-renewal in glioblastoma [ATAC-seq]|over-expressed regulator GBM primary culture adult patient cells cancer stem cell phenotypes properties tumor initiation potential transplanted immunocompromised mice over-expressing control|
GSE69796|atac_seq|Drosophila melanogaster|13|GSE69796_RAW.tar(290MB)|development,epigenetics,cell_stress,gene_regulation|Roles of Cofactors and Chromatin Accessibility in Hox Protein Target Specificity|Regulation genes transcription central gene network control development achieved eukaryotic genomes poorly understood exemplified family limited vitro DNA-binding clear functional vivo generated|
GSE67860|atac_seq|Mus musculus|12|GSE67860_RAW.tar(1.4GB)|epigenetics,gene_regulation|Coactivator-Dependent Oscillation of Chromatin Accessibility Dictates Circadian Gene Amplitude through REV-ERB Loading|SuperSeries composed SubSeries listed|
GSE67859|atac_seq|Mus musculus|4|GSE67859_RAW.tar(330MB)|metabolism,epigenetics,liver|Detection of chromatin accessibility in WT and SRC-2-/- mice in liver|futher characterized genome-wide mouse CT10 DNase-Seq addition reduced|
GSE59004|atac_seq|Saccharomyces cerevisiae|10|GSE59004_RAW.tar(268MB)|epigenetics,microbiology,rna_biology,cell_cycle|Acetylation of histone H4 at lysine 44 facilitates meiotic recombination by creating accessible chromatin [Mnase-seq]|hotspots post-translational modifications open structure directly regulate identify Lys44 H4K44ac new modification occurring nucleosomal lateral surface specific yeast sporulation rising meiosis|
GSE59003|atac_seq|Saccharomyces cerevisiae|22|GSE59003_H4K44ac-H4.WT.R1.bw(88MB), GSE59003_H4K44ac-H4.WT.R2.bw(94MB), GSE59003_RAW.tar(406MB)|epigenetics,microbiology,rna_biology,cell_cycle|Acetylation of histone H4 at lysine 44 facilitates meiotic recombination by creating accessible chromatin [ChIP-seq]|hotspots post-translational modifications open structure directly regulate identify Lys44 H4K44ac new modification occurring nucleosomal lateral surface specific yeast sporulation rising meiosis|
GSE75262|atac_seq|Mus musculus|4|GSE75262_RAW.tar(1.1GB)|immunology,epigenetics,skin|Genome-wide profilings of IFN-stimulated murine splenic B cells by ATAC-Seq.|report IFN-induced dynamics Male C57BL/6 mice injected subcutaneously 000U IFNa spleens removed 90min negatively isolated magnetic beads profiled chromatin configuration|
GSE74231|atac_seq|Danio rerio|7|GSE74231_RAW.tar(193MB)|development,epigenetics,gene_regulation|Enhancers reside in a unique epigenetic environment during early zebrafish development [ChIP-seq & ATAC-seq]|describe DNA methylation little influence activity hypo-methylation feature primed active generally hyper-methylated Hypo-methylated hypo-enhancers enriched close important transcription factors TFs|
GSE70671|atac_seq|Homo sapiens|30|GSE70671_RAW.tar(6.1GB)|immunology,epigenetics,crispr_gene_editing,gene_regulation|Epigenome Editing by CRISPR/Cas9 Repressors for Silencing of Distal Regulatory Elements|platform promising technology modulate gene expression direct cell phenotype dissect causal epigenetic regulation Fusions nuclease-inactive dCas9 KRAB domain dCas9-KRAB effectively silence target|
GSE65664|atac_seq|Homo sapiens|14|GSE65664_RAW.tar(1.1GB)|cancer,epigenetics,cell_stress,gene_regulation|Genetic predisposition to neuroblastoma mediated by a single nucleotide polymorphism within a LMO1 oncogene super-enhancer element|previous genome-wide association common polymorphisms locus highly susceptibility children oncogenic addiction tumor cells1 sought discover causal DNA variant leads tumorigenesis first imputed|
GSE68686|atac_seq|Mus musculus|4|GSE68686_RAW.tar(168MB)|development,epigenetics,crispr_gene_editing,cell_stress|In beta-actin knockout mouse embryonic fibroblasts epigenetic reprogramming and chromatin modifications lead to rDNA transcription inactivation and defects in cell growth and proliferation|nuclear myosin NM1 emerging regulators organization genome-wide approach report binds intergenic genic regions across entire mammalian genome protein-coding rRNA genes unit distribution correlated|
GSE70313|atac_seq|Mus musculus|2|GSE70313_SICER_MG2_antiHA.wig.gz(154KB)|cancer,development,epigenetics,cell_stress,cell_cycle|Atad2 is a generalist facilitator of chromatin dynamics in embryonic stem cells [Atad2_ES_ChIPseq2_MG2]|conserved AAA ATPase bromodomain factor described transcriptional co-activator upregulated many cancers poorly understood combination ChIP-seq ChIP-proteomics RNA-seq experiments abundant|
GSE70312|atac_seq|Mus musculus|2|GSE70312_SICER_BI_haTag_haCtrl.wig.gz(2MB)|cancer,development,epigenetics,cell_stress,cell_cycle|Atad2 is a generalist facilitator of chromatin dynamics in embryonic stem cells [Atad2_ES_Chipseq1_BI]|conserved AAA ATPase bromodomain factor described transcriptional co-activator upregulated many cancers poorly understood combination ChIP-seq ChIP-proteomics RNA-seq experiments abundant|
GSE75597|atac_seq|Homo sapiens|16|GSE75597_RAW.tar(24.4GB)|cancer,epigenetics,kidney|Identification of DNA methylation-independent epigenetic events underlying clear cell renal cell carcinoma|Alterations chromatin accessibility affect cancer-related expression often overlooked conventional epigenomic profiling approaches describe cost-effective computationally simple assay called|
GSE71023|atac_seq|Homo sapiens|5|GSE71023_RAW.tar(2.0GB)|cancer,development,epigenetics,fibrosis_wound,skin,signal_transduction|Identification of chromatin accessibility domains in EMT and breast cancer stem cell formation.|Epithelial-mesenchymal transition process whereby cells gain migratory invasive properties characteristic mesenchymal plays central embryogenesis wound healing wide range tissues linked CSCs Many|
GSE77570|atac_seq|Mus musculus|3|GSE77570_RAW.tar(670KB)|cancer,immunology,epigenetics|ChIP-seq for H3K27Ac and H3K4me3 in a pre-B-cell model of Acute Lymphoblastic Leukemia, no stimulation or treatment|wanted identify regions active open chromatin stimulate cells merely maintained them culture chose conditions because building computational needed baseline read histone activation|
GSE71214|atac_seq|Mus musculus|6|GSE71214_RAW.tar(2.2GB)|development,gene_regulation|How C/EBPa creates an elite cell state for reprogramming to pluripotency [ATACseq]|Mouse Bcell ectopic expression transcription factor Cebpa 18h reprogrammed iPS extremely high efficiency understand molecular control phenomena multiple throughtput functionnal genomic|
GSE65544|atac_seq|Homo sapiens|3|GSE65544_RAW.tar(80MB)|cancer,neuroscience,epigenetics,gene_regulation|BPTF is required for c-MYC-induced remodelling of target chromatin and transcriptional activation [ChIP-Seq]|oncogene key factor deregulated most human tumors Histone marks transcriptionally active genes euchromatic islands define set high-affinity targets recognition likely involve chromatin-remodelling|
GSE74191|atac_seq|Mus musculus|8|GSE74191_RAW.tar(978MB)|immunology,metabolism,epigenetics|A Stringent Systems Approach Uncovers Gene-Specific Mechanisms Regulating Inflammation [ATAC-seq]|Much learned transcriptional cascades networks large-scale analyses high-throughput sets methods optimize statistical power simultaneous evaluation thousands ChIP-seq peaks differentially expressed|
GSE72089|atac_seq|Homo sapiens|11|GSE72089_pub_SRR891268_ATAC-seq_50k_cells_Rep1_downsampled_dfilter_peaks.bed.gz(373KB), GSE72089_pub_SRR891269_ATAC-seq_50k_cells_Rep2_downsampled_dfilter_peaks.bed.gz(491KB), GSE72089_pub_SRR891270_ATAC-seq_50k_cells_Rep3_downsampled_dfilter_peaks.bed.gz(543KB), GSE72089_pub_SRR891271_ATAC-seq_50k_cells_Rep4_downsampled_dfilter_peaks.bed.gz(571KB), GSE72089_pub_SRR891272_ATAC-seq_500_cells_Rep1_downsampled_dfilter_peaks.bed.gz(180KB), GSE72089_pub_SRR891273_ATAC-seq_500_cells_Rep2_downsampled_dfilter_peaks.bed.gz(371KB), GSE72089_RAW.tar(10MB), GSE72089_wgEncodeOpenChromDnaseGm12878RawData_merged_unique_dfilter_peaks.bed.gz(457KB), GSE72089_wgEncodeOpenChromFaireGm12878RawData_merged_unique_dfilter_peaks.bed.gz(153KB), GSE72089_wgEncodeUwDnaseGm12878RawData_merged_unique_dfilter_peaks.bed.gz(553KB)|epigenetics|Validation of THS-seq method, and comparison of published ENCODE DNase-seq data, self-generated ATAC-seq data and published ATAC-seq data, and THS-seq data for quantitation of chromatin accessibility.|captures binding status protein factors chromosomes vivo considered highly informative proxy functional protein-DNA interactions Existing Tn5 transposase assays generally require tens thousands|
GSE69297|atac_seq|Homo sapiens|14|GSE69297_RAW.tar(3.4GB)|epigenetics|FAIRE-seq 1,25(OH)2D3 time course in THP-1 cells|Assessment regions open chromatin treated 0-48|
GSE75794|atac_seq|Oryza sativa|18|GSE75794_open_regions.gff.gz(489KB)|epigenetics,plant_biology|Nucleosome free chromatin measured by ATAC-seq in Rice leaves (Oryza sativa)|measurement day old 2nd leaf heat stress recovery dehydration|
GSE71156|atac_seq|Mus musculus|7|GSE71156_RAW.tar(2.0GB), GSE71156_RepA_minusdox_merge.bed_peaks.narrowPeak.gz(3MB), GSE71156_Wt_minusdox_merge.bed_peaks.narrowPeak.gz(3MB)|epigenetics,cell_stress|Allele-specific ATAC-seq|One two chromosomes female somatic cells transcriptionally silenced across cell generations classic paradigm epigenetic regulation most genes stably certain X-linked escape X-chromosome inactivation|
GSE79342|atac_seq|Saccharomyces cerevisiae|10|GSE79342_Crz1-A_annotated_probe_Report_forGEO.txt.gz(2MB), GSE79342_Crz1-B_annotated_probe_Report_for_GEO.txt.gz(1MB)|cancer,epigenetics,microbiology,gene_regulation,signal_transduction|Genome-wide recruitment profiling of transcription factor Crz1 in response to high pH stress|Exposure budding Saccharomyces cerevisiae alkaline environment produces robust transcriptional involving hundreds genes Part triggered almost immediate burst calcium activates Ser/Thr protein|
GSE80453|atac_seq|Rattus norvegicus|2|GSE80453_RAW.tar(95MB)|cardiovascular,epigenetics,gene_regulation|Reciprocal regulation of cardiac chromatin by the chromatin structural proteins HMGB and CTCF|Transcriptome remodeling heart disease occurs coordinated actions transcription factors histone modifications other features pathology-associated genes unknown extent genome-wide reorganization|
GSE79935|atac_seq|Mus musculus|2|GSE79935_RAW.tar(83MB)|development,metabolism,epigenetics,reproduction,crispr_gene_editing,plant_biology|The landscape of accessible chromatin in mammalian pre-implantation embryos (ChIP -Seq)|mammals extensive reorganization essential reprogramming terminally committed gametes totipotent state preimplantation development global dynamics period unexplored report genome-wide map mouse|
GSE66581|atac_seq|Mus musculus|17|GSE66581_atac_1k_mESC.bedGraph.gz(168MB), GSE66581_atac_200_mESC.bedGraph.gz(215MB), GSE66581_atac_2cell.bedGraph.gz(342MB), GSE66581_atac_2cell_early.bedGraph.gz(296MB), GSE66581_atac_2cell_early_trx_inhibitor.bedGraph.gz(198MB), GSE66581_atac_4cell.bedGraph.gz(553MB), GSE66581_atac_4cell_reciprocal.bedGraph.gz(425MB), GSE66581_atac_50k_mESC.bedGraph.gz(193MB), GSE66581_atac_8cell.bedGraph.gz(476MB), GSE66581_atac_ICM.bedGraph.gz(400MB), GSE66581_bed_files.tar.gz(6MB), GSE66581_RAW.tar(2.6GB)|development,metabolism,epigenetics,reproduction,crispr_gene_editing,plant_biology|The landscape of accessible chromatin in mammalian pre-implantation embryos (ATAC-Seq)|mammals extensive reorganization essential reprogramming terminally committed gametes totipotent state preimplantation development global dynamics period unexplored report genome-wide map mouse|
GSE74912|atac_seq|Homo sapiens|130|GSE74912_ATACseq_All_Counts.txt.gz(63MB)|immunology,development,epigenetics,hematopoiesis,gene_regulation|ATAC-seq data|single hematopoietic stem cell give rise blood cells remarkable fidelity define chromatin accessibility transcriptional landscape controlling process thirteen primary types traverse hierarchy|
GSE74310|atac_seq|Homo sapiens|576|GSE74310_scATACseq_All_Counts.txt.gz(12MB)|immunology,development,epigenetics,hematopoiesis,gene_regulation|Single-cell chromatin accessibility data using scATAC-seq|hematopoietic stem give rise blood cells remarkable fidelity define transcriptional landscape controlling process thirteen primary types traverse hierarchy Exploiting finding enhancer landscapes|
GSE71338|atac_seq|Homo sapiens|16|GSE71338_RAW.tar(2.0GB)|immunology,epigenetics|Effects of biobanking on chromatin accessibility|goal test assessibility defined ATAC-seq Human naïve cells FACS sorted PBMCs either frozen processed fresh range cell numbers identify technical limitations reproducibility assay biobanked comapred|
GSE76681|atac_seq|Homo sapiens|4|GSE76681_RAW.tar(432MB)|cancer,cardiovascular,epigenetics,hematopoiesis,signal_transduction|ATAC-seq data from EB-HSPC after AM580 treatment compared to DMSO-treated EB|signalling regulated endothelial hematopoietic transition HSC generation|
GSE77299|atac_seq|Homo sapiens|37|GSE77299_RAW.tar(19.0GB)|immunology,development,epigenetics,gene_regulation,signal_transduction|Distinct Gene Regulatory Pathways for Human Innate Versus Adaptive Lymphoid Cells [ChIP-seq & ATAC-seq]|ILCs serve sentinels mucosal tissues sensing release soluble inflammatory mediators rapidly communicating danger via cytokine secretion functioning guardians tissue homeostasis studied extensively|
GSE71134|atac_seq|Mus musculus|8|GSE71134_RAW.tar(2.3GB), GSE71134_Supplementary_Table_4.xlsx.gz(373KB)|neuroscience,epigenetics,gene_regulation|Injury-induced enhancer remodelling in spinal microglia - a novel mechanism for pain chronification? [ChIP-Seq]|Chronic common devastating precise molecular origins condition induces well-characterised changes neurons unknown persist long precipitating healed posit enhancers regions open chromatin define cell|
GSE81256|atac_seq|Mus musculus|12|GSE81256_16T_chip_FE.s20.w150.bw(756MB), GSE81256_16T_chip_peaks.bed.gz(130B), GSE81256_KP1_chip_FE.s20.w150.bw(643MB), GSE81256_KP1_chip_peaks.bed.gz(281KB), GSE81256_KP22_chip_FE.s20.w150.bw(840MB), GSE81256_KP22_chip_peaks.bed.gz(117KB), GSE81256_merged_peaks.deseq_results.all.csv.gz(2MB)|cancer,epigenetics|Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility [ChIP-seq]|describe important regulator SCLC|
GSE81255|atac_seq|Homo sapiens; Mus musculus|67|GSE81255_16T-sh2.s20.w150.bw(403MB), GSE81255_16T-shLuc.s20.w150.bw(413MB), GSE81255_all_merged.H14_H29_H52_H69_H82_H88_peaks.broadPeak.gz(5MB), GSE81255_cell_lines.deseq_results.csv.gz(32MB), GSE81255_cell_mod.deseq_results.csv.gz(23MB), GSE81255_human_oe.deseq_results.csv.gz(4MB), GSE81255_KP1-sh2.s20.w150.bw(304MB), GSE81255_KP1-shLuc.s20.w150.bw(268MB), GSE81255_L1.from140625and140115.rmdup.s20.w150sw.bw(389MB), GSE81255_L2.from140625and140115.rmdup.s20.w150sw.bw(328MB), GSE81255_L3.from140625and140115.rmdup.s20.w150sw.bw(373MB), GSE81255_L4.from140625and140115.rmdup.new.s20.w150sw.bw(409MB), GSE81255_oe-empty.s20.w150.bw(470MB), GSE81255_oe-nfib.s20.w150.bw(474MB), GSE81255_peak_calls_mm9.nheader.up.bed.gz(243KB), GSE81255_primary_tissue.deseq_results.csv.gz(44MB), GSE81255_T1.notT1A.from140625and140115.rmdup.s20.w150sw.bw(307MB), GSE81255_T2.from140625and140115.rmdup.s20.w150sw.bw(361MB), GSE81255_T3.from140625and140115.rmdup.s20.w150sw.bw(406MB), GSE81255_T4.from140625and140115.rmdup.s20.w150sw.bw(386MB)|cancer,epigenetics,lung_respiratory|Nfib promotes Metastasis through a Widespread Increase in Chromatin Accessibility [ATAC-seq]|describe important regulator Small cell lung cancer SCLC|
GSE78036|atac_seq|Homo sapiens|6|GSE78036_ATAC_diffSite_F_vs_C.bed.gz(7KB), GSE78036_RAW.tar(324MB)|immunology,neuroscience,development,epigenetics,skeletal_muscle|Cell freezing protocol suitable for ATAC-Seq on motor neurons derived from human induced pluripotent stem cells|describe neuronal compatible producing compare generated fresh developed disease-relevant type namely differentiated patient affected spinal muscular atrophy while flash-frozen assay successful|
GSE69347|atac_seq|Homo sapiens|4|GSE69347_RAW.tar(2MB)|development,epigenetics,hematopoiesis,gene_regulation|Setd1a and NURF mediate chromatin dynamics and gene regulation during erythroid cell differentiation|modulation structure key step transcription eukaryotic cells Mammalian erythropoiesis accompanied alterations expression epigenetic regulators modulate coordinate changes largely unknown USF|
GSE69749|atac_seq|Homo sapiens|20|GSE69749_RAW.tar(16MB)|epigenetics|Sex-specific chromatin accessibility profiling in human PBMCs|ATAC-seq profile differences sexes states twenty individuals equal distribution males females controlled age 18-45 years old ethnicity Caucasian|
GSE68069|atac_seq|Homo sapiens|12|GSE68069_RAW.tar(14MB)|development,epigenetics,gene_regulation,eye_vision|Master transcription factors in corneal epithelial cells [ATAC-Seq]|development embryonic ectoderm differentiates several lineages neuroectoderm surface largely report OVOL2 required transcriptional program epithelium CEC derivative regulates differential programs|
GSE67746|atac_seq|Mus musculus|7|GSE67746_RAW.tar(2.6GB)|epigenetics|Chronic haloperidol effects on open chromatin accessibility in mouse [DNase-seq]|evaluate administration antipsychotic versus placebo male 8-week old C57BL/6J mice|
GSE67744|atac_seq|Mus musculus|14|GSE67744_RAW.tar(38.2GB)|epigenetics|Chronic haloperidol effects on open chromatin accessibility in mouse [ATAC-seq]|evaluate administration antipsychotic versus placebo male 8-week old C57BL/6J mice|
GSE77670|atac_seq|Mus musculus|10|GSE77670_RAW.tar(4.9GB)|epigenetics,gene_regulation|Pioneer transcription factor FoxA maintains an accessible nucleosome configuration at enhancers for tissue-specific gene activation [ChIP-seq]|Nuclear DNA wrapped around core histones form nucleosomes constrains factors bind regulatory sequences special ability target initiate events often leading local opening chromatin nucleosomal open|
