# accession|modality|organism|n_samples|files|topics|title|keywords|flags
# files: actual FTP filenames+sizes when available, or [GEO:types] as fallback
# flags: 'multiomics' if record also appears in search_index_multiomics.txt; empty otherwise
GSE118184|single-nucleus|Homo sapiens|25|GSE118184_BDNF_inhibitor.dge.txt.gz(6MB), GSE118184_Human_kidney_snRNA.dge.txt.gz(10MB), GSE118184_Morizane_ES.dge.txt.gz(9MB), GSE118184_Morizane_iPS_Batch1_2.dge.txt.gz(20MB), GSE118184_Morizane_iPS_Batch3.dge.txt.gz(3MB), GSE118184_Organoid.combined.dge.txt.gz(91MB), GSE118184_Takasato_ES.dge.txt.gz(23MB), GSE118184_Takasato_iPS_Batch1_2.dge.txt.gz(25MB), GSE118184_Takasato_iPS_Batch3.dge.txt.gz(7MB), GSE118184_Takasato_iPS_day34.dge.txt.gz(9MB), GSE118184_Takasato.iPS.timecourse.txt.gz(11MB)|development,kidney,gene_regulation|Comparative analysis of kidney organoid and adult human kidney single cell and single nucleus transcriptomes|analyzed over 000 cells isolated organoids differentiated iPSCs ESCs two different protocols generate contain diverse range differing ratios non-renal types reconstructed lineage relationships|
GSE118545|single-nucleus|Mus musculus|9|GSE118545_RAW.tar(34MB)|development,cardiovascular|Single-nucleus transcriptomic survey of cell diversity and functional maturation in the postnatal mammalian hearts|fundamental challenge understanding cardiac biology disease remarkable heterogeneity cell-type composition states characterized single-cell resolution maturing diseased Massively parallel RNA|
GSE126074|single-nucleus|Mus musculus; Homo sapiens|36|GSE126074_AdBrainCortex_SNAREseq_cDNA.barcodes.tsv.gz(48KB), GSE126074_AdBrainCortex_SNAREseq_cDNA.counts.mtx.gz(28MB), GSE126074_AdBrainCortex_SNAREseq_cDNA.genes.tsv.gz(94KB), GSE126074_AdBrainCortex_SNAREseq_chromatin.barcodes.tsv.gz(54KB), GSE126074_AdBrainCortex_SNAREseq_chromatin.counts.mtx.gz(78MB), GSE126074_AdBrainCortex_SNAREseq_chromatin.peaks.tsv.gz(2MB), GSE126074_CellLineMixture_SNAREseq_cDNA_counts.tsv.gz(917KB), GSE126074_CellLineMixture_SNAREseq_chromatin_counts.tsv.gz(5MB), GSE126074_P0_BrainCortex_SNAREseq_cDNA.barcodes.tsv.gz(22KB), GSE126074_P0_BrainCortex_SNAREseq_cDNA.counts.mtx.gz(5MB), GSE126074_P0_BrainCortex_SNAREseq_cDNA.genes.tsv.gz(54KB), GSE126074_P0_BrainCortex_SNAREseq_chromatin.barcodes.tsv.gz(22KB), GSE126074_P0_BrainCortex_SNAREseq_chromatin.counts.mtx.gz(40MB), GSE126074_P0_BrainCortex_SNAREseq_chromatin.peaks.tsv.gz(2MB)|neuroscience,development,epigenetics|Simultaneous profiling of transcriptome and chromatin accessibility in single nucleus|describe SNARE-seq droplet-based method simultaneously profile gene expression thousands nuclei Employing profiled 1047 human cell line mixture 5081 10309 neonatal adult mouse brain|multiomics
GSE118257|single-nucleus|Homo sapiens|20|GSE118257_MSCtr_snRNA_ExpressionMatrix_R.txt.gz(24MB), GSE118257_MSCtr_snRNA_FinalAnnotationTable.txt.gz(178KB)|neuroscience,development,metabolism,cell_stress|Altered oligodendrocyte heterogeneity in Multiple sclerosis.|pathology increasingly implicated neurodegenerative diseases metabolic support axons functional cross-talk other brain cells Rodent OLs heterogeneous developmental biological differences extent|
GSE132044|single-nucleus|Mus musculus; Homo sapiens|3986|GSE132044_cortex_mm10_cell.tsv.gz(70KB), GSE132044_cortex_mm10_count_matrix.mtx.gz(90MB), GSE132044_cortex_mm10_gene.tsv.gz(198KB), GSE132044_HEK293_PBMC_TPM_bulk.tsv.gz(456KB), GSE132044_mixture_hg19_mm10_cell.tsv.gz(130KB), GSE132044_mixture_hg19_mm10_count_matrix.mtx.gz(296MB), GSE132044_mixture_hg19_mm10_gene.tsv.gz(468KB), GSE132044_NIH3T3_cortex_TPM_bulk.tsv.gz(399KB), GSE132044_pbmc_hg38_cell.tsv.gz(207KB), GSE132044_pbmc_hg38_count_matrix.mtx.gz(122MB), GSE132044_pbmc_hg38_gene.tsv.gz(233KB)|neuroscience,development|Systematic comparative analysis of single cell RNA-sequencing methods|multitude single-cell developed recent years dramatic advances scale power enabling major discoveries large mapping efforts systematically comprehensively benchmarked directly compare seven and/or|
GSE121862|single-nucleus|Homo sapiens|47|GSE121862_UCSD-WU_Single_Nuclei_Cluster_Annotated_Raw_UMI_Matrix.tsv.gz(19MB), GSE121862_UCSD-WU_Single_Nuclei_Cluster_Annotations.csv.gz(603B)|immunology,kidney|A single-nucleus RNA-sequencing pipeline to decipher the molecular anatomy and pathophysiology of human kidneys|Defining cellular identities within necessary understand organization health disease reproducible method minimal artifacts Droplet-based snDrop-Seq use resolve thirty distinct cell populations adult|
GSE130710|single-nucleus|Mus musculus|2|GSE130710_metadata.csv.gz(189KB), GSE130710_normdata.csv.gz(130MB)|cardiovascular,metabolism,fibrosis_wound,kidney,skeletal_muscle|Quantitative proteomic and single-nucleus transcriptomics map of the sinus node elucidates the foundation of cardiac pacemaking|collection highly specialised cells constituting heart pacemaker keenly debated so-called membrane alternatively Ca2 clocks molecular substrate high-resolution mass spectrometry quantified 000|
GSE129578|single-nucleus|Homo sapiens; Mus musculus|24|GSE129578_HMEC1_techrep_matrix.mtx.gz(39MB), GSE129578_HMEC2_techrep_matrix.mtx.gz(35MB), GSE129578_HMEC3_techrep_matrix.mtx.gz(36MB), GSE129578_HMEC4_techrep_matrix.mtx.gz(50MB), GSE129578_HMEC_orig_matrix.mtx.gz(609MB), GSE129578_PDX_hs_matrix.mtx.gz(6MB), GSE129578_PDX_mm_matrix.mtx.gz(47MB), GSE129578_POC_matrix.mtx.gz(269MB), GSE129578_POC_nuc_matrix.mtx.gz(71MB), GSE129578_processed_data_files.csv.tar.gz(4MB), GSE129578_processed_data_files.tsv.tar.gz(32MB)|cancer,immunology,development,metabolism|MULTI-seq: Universal sample multiplexing for single-cell RNA sequencing using lipid-tagged indices|report development scRNA-seq snRNA-seq approach cholesterol-modified oligonucleotides utility following contexts Live HEKs HMECs without stimulation TGF Purified nuclei MEFs Jurkats stimulated 0-24|
GSE129096|single-nucleus|Homo sapiens|25|GSE129096_DRONC_combined_allcells.tsv.gz(37MB), GSE129096_DROP_combined_allcells.tsv.gz(67MB), GSE129096_HumanHeartDroNc.tsv.gz(2MB)|immunology,development,cardiovascular,skeletal_muscle|Systematic comparison of single-cell and single-nucleus transcriptomes during cardiomyocyte differentiation|Purpose systematically assess differences high-throughput single-nuclei RNA-seq approaches Drop-seq DroNc-seq two microfluidic-based RNA capture technologies profile total cellular nuclear time|
GSE131882|single-nucleus|Homo sapiens|6|GSE131882_RAW.tar(1.4GB)|metabolism,kidney|The Single Cell Transcriptomic Landscape of Early Human Diabetic Nephropathy|report transcriptional changes nucleus RNA sequencing|
GSE135618|single-nucleus|Mus musculus; Homo sapiens|22|GSE135618_bulk_counts.csv.gz(359KB), GSE135618_RAW.tar(146MB)|immunology,neuroscience,development,microbiology|Transcriptional profiling of microglia; current state of the art and future perspectives|tissue macrophages central nervous system CNS first respond dysfunction disease Gene expression development under homeostatic conditions diseased provided insight changes thereof Single cell|
GSE128628|single-nucleus|Mus musculus|3|GSE128628_RAW.tar(56MB)|immunology,development,cardiovascular,skeletal_muscle,cell_cycle|Cardiomyocyte Dedifferentiation and Proliferation Revealed by Massive Parallel Single-Nucleus Transciprotmic Analysis in Adult Mouse Hearts|demonstrated previously cardiomyocytes dedifferentiate proliferate cultured vitro determine cell cycling/proliferation happens vivo applied novel multi-reporter transgenic model aMH-CMerCreMer mT/MG|
GSE140511|single-nucleus|Mus musculus|20|GSE140511_RAW.tar(775MB)|immunology,neuroscience|Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and -independent cellular responses in Alzheimer’s disease|SuperSeries composed SubSeries listed|
GSE140510|single-nucleus|Mus musculus|12|GSE140510_RAW.tar(704MB)|immunology,neuroscience,infectious_disease|Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and -independent cellular responses in Alzheimer’s disease [7 months]|Glia implicated pathogenesis Variants microglia receptor increase risk activation disease-associated DAM models surveyed gene expression changes pathology 5XFAD mice snRNA-seq confirmed presence|
GSE140399|single-nucleus|Mus musculus|8|GSE140399_RAW.tar(71MB)|immunology,neuroscience,infectious_disease|Human and mouse single-nucleus transcriptomics reveal TREM2-dependent and -independent cellular responses in Alzheimer’s disease [15 months]|Glia implicated pathogenesis Variants microglia receptor increase risk activation disease-associated DAM models surveyed gene expression changes pathology 5XFAD mice snRNA-seq confirmed presence|
GSE140493|single-nucleus|Homo sapiens|8494|GSE140493_MCDS_data.tar.gz(5.9GB), GSE140493_RAW.tar(1153.1GB), GSE140493_snm3C-seq.CGN_cov_chrom100k_da.csv.gz(153MB), GSE140493_snm3C-seq.CGN_cov_gene_da.csv.gz(209MB), GSE140493_snm3C-seq.CGN_mc_chrom100k_da.csv.gz(142MB), GSE140493_snm3C-seq.CGN_mc_gene_da.csv.gz(191MB), GSE140493_snm3C-seq.CHN_cov_chrom100k_da.csv.gz(246MB), GSE140493_snm3C-seq.CHN_cov_gene_da.csv.gz(329MB), GSE140493_snm3C-seq.CHN_mc_chrom100k_da.csv.gz(129MB), GSE140493_snm3C-seq.CHN_mc_gene_da.csv.gz(152MB), GSE140493_snmC2T-seq.GCYN_cov_chrom100k_da.csv.gz(157MB), GSE140493_snmC2T-seq.GCYN_cov_gene_da.csv.gz(207MB), GSE140493_snmC2T-seq.GCYN_mc_chrom100k_da.csv.gz(103MB), GSE140493_snmC2T-seq.GCYN_mc_gene_da.csv.gz(131MB), GSE140493_snmC2T-seq.gene_rna_counts.4358cell.60606gene.csv.gz(30MB), GSE140493_snmC2T-seq.HCGN_cov_chrom100k_da.csv.gz(123MB), GSE140493_snmC2T-seq.HCGN_cov_gene_da.csv.gz(164MB), GSE140493_snmC2T-seq.HCGN_mc_chrom100k_da.csv.gz(118MB), GSE140493_snmC2T-seq.HCGN_mc_gene_da.csv.gz(153MB), GSE140493_snmC2T-seq.HCHN_cov_chrom100k_da.csv.gz(207MB), GSE140493_snmC2T-seq.HCHN_cov_gene_da.csv.gz(263MB), GSE140493_snmC2T-seq.HCHN_mc_chrom100k_da.csv.gz(121MB), GSE140493_snmC2T-seq.HCHN_mc_gene_da.csv.gz(143MB), GSE140493_snmC2T-seq.rna_gene_counts.csv.gz(30MB), GSE140493_snmC-seq_and_snmC-seq2.CGN_cov_chrom100k_da.csv.gz(207MB), GSE140493_snmC-seq_and_snmC-seq2.CGN_cov_gene_da.csv.gz(282MB), GSE140493_snmC-seq_and_snmC-seq2.CGN_mc_chrom100k_da.csv.gz(196MB), GSE140493_snmC-seq_and_snmC-seq2.CGN_mc_gene_da.csv.gz(261MB), GSE140493_snmC-seq_and_snmC-seq2.CHN_cov_chrom100k_da.csv.gz(330MB), GSE140493_snmC-seq_and_snmC-seq2.CHN_cov_gene_da.csv.gz(432MB), GSE140493_snmC-seq_and_snmC-seq2.CHN_mc_chrom100k_da.csv.gz(196MB), GSE140493_snmC-seq_and_snmC-seq2.CHN_mc_gene_da.csv.gz(238MB)|neuroscience,development,epigenetics|Multi-omic profiling of single nuclei uncovers regulatory diversity of brain cell types and diseases|Most existing single-cell techniques make one molecular measurements computational approaches developed integrate datasets efficacy still needs determined reference authentic profiles address|
GSE141469|single-nucleus|Homo sapiens; Canis lupus familiaris; Mus musculus|2|GSE141469_10XV3_human_exp_mat.tsv.gz(27MB), GSE141469_10XV3_human_metadata.tsv.gz(723KB), GSE141469_10XV3_mouse_exp_mat.tsv.gz(19MB), GSE141469_10XV3_mouse_metadata.tsv.gz(434KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (10 X V3)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE136196|single-nucleus|Mus musculus|4|GSE136196_RAW.tar(42MB)|cardiovascular,gene_regulation|Characterizing cellular heterogeneity and homeostatic gene regulatory networks in the adult mammalian stria vascularis using single cell and single nucleus transcriptional profiling|Characterzing mouse|
GSE133548|single-nucleus|Mus musculus; Homo sapiens; Canis lupus familiaris|1|GSE133548_inDrop_human_exp_mat.tsv.gz(3MB), GSE133548_inDrop_human_metada.tsv.gz(174KB), GSE133548_inDrop_mouse_exp_mat.tsv.gz(2MB), GSE133548_inDrop_mouse_metada.tsv.gz(156KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (inDrop)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133547|single-nucleus|Homo sapiens; Canis lupus familiaris; Mus musculus|16|GSE133547_ddSEQ_human_exp_mat.tsv.gz(9MB), GSE133547_ddSEQ_human_metada.tsv.gz(317KB), GSE133547_ddSEQ_mouse_exp_mat.tsv.gz(5MB), GSE133547_ddSEQ_mouse_metada.tsv.gz(296KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (ddSEQ)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133546|single-nucleus|Mus musculus; Homo sapiens; Canis lupus familiaris|2|GSE133546_SingleNuclei_human_exp_mat.tsv.gz(8MB), GSE133546_SingleNuclei_human_metada.tsv.gz(432KB), GSE133546_SingleNuclei_mouse_exp_mat.tsv.gz(9MB), GSE133546_SingleNuclei_mouse_metada.tsv.gz(456KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (SingleNuclei)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133545|single-nucleus|Homo sapiens; Canis lupus familiaris; Mus musculus|1|GSE133545_SMARTseq2_human_exp_mat.tsv.gz(14MB), GSE133545_SMARTseq2_human_metada.tsv.gz(199KB), GSE133545_SMARTseq2_mouse_exp_mat.tsv.gz(6MB), GSE133545_SMARTseq2_mouse_metada.tsv.gz(178KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (SMART-Se2q)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133544|single-nucleus|Canis lupus familiaris; Homo sapiens; Mus musculus|8|GSE133544_SCRBseq_human_exp_mat.tsv.gz(10MB), GSE133544_SCRBseq_human_metada.tsv.gz(258KB), GSE133544_SCRBseq_mouse_exp_mat.tsv.gz(7MB), GSE133544_SCRBseq_mouse_metada.tsv.gz(243KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (gmSCRB-seq)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133543|single-nucleus|Canis lupus familiaris; Homo sapiens; Mus musculus|4|GSE133543_QUARTZseq_human_exp_mat.tsv.gz(15MB), GSE133543_QUARTZseq_human_metada.tsv.gz(246KB), GSE133543_QUARTZseq_mouse_exp_mat.tsv.gz(8MB), GSE133543_QUARTZseq_mouse_metada.tsv.gz(230KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (QUARTZ-Seq2)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133542|single-nucleus|Canis lupus familiaris; Homo sapiens; Mus musculus|12|GSE133542_MARSseq_human_exp_mat.tsv.gz(4MB), GSE133542_MARSseq_human_metada.tsv.gz(185KB), GSE133542_MARSseq_mouse_exp_mat.tsv.gz(2MB), GSE133542_MARSseq_mouse_metada.tsv.gz(172KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (MARS-Seq)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133541|single-nucleus|Mus musculus; Canis lupus familiaris; Homo sapiens|4|GSE133541_ICELL8_human_exp_mat.tsv.gz(12MB), GSE133541_ICELL8_human_metada.tsv.gz(309KB), GSE133541_ICELL8_mouse_exp_mat.tsv.gz(6MB), GSE133541_ICELL8_mouse_metada.tsv.gz(273KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects  (ICELL8)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133540|single-nucleus|Canis lupus familiaris; Homo sapiens; Mus musculus|6|GSE133540_Dropseq_human_exp_mat.tsv.gz(8MB), GSE133540_Dropseq_human_metada.tsv.gz(501KB), GSE133540_Dropseq_mouse_exp_mat.tsv.gz(5MB), GSE133540_Dropseq_mouse_metada.tsv.gz(451KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (DROP-Seq)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133539|single-nucleus|Mus musculus; Homo sapiens; Canis lupus familiaris|15|GSE133539_CELseq2_human_exp_mat.tsv.gz(10MB), GSE133539_CELseq2_human_metada.tsv.gz(229KB), GSE133539_CELseq2_mouse_exp_mat.tsv.gz(5MB), GSE133539_CELseq2_mouse_metada.tsv.gz(198KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (CEL-Seq2)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133538|single-nucleus|Homo sapiens; Canis lupus familiaris; Mus musculus|160|GSE133538_C1HTsmall_human_exp_mat.tsv.gz(32MB), GSE133538_C1HTsmall_human_metada.tsv.gz(543KB), GSE133538_C1HTsmall_mouse_exp_mat.tsv.gz(20MB), GSE133538_C1HTsmall_mouse_metada.tsv.gz(538KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects  (C1HT small)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133537|single-nucleus|Mus musculus; Homo sapiens; Canis lupus familiaris|140|GSE133537_C1HTmedium_human_exp_mat.tsv.gz(42MB), GSE133537_C1HTmedium_human_metada.tsv.gz(481KB), GSE133537_C1HTmedium_mouse_exp_mat.tsv.gz(26MB), GSE133537_C1HTmedium_mouse_metada.tsv.gz(477KB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (C1HT)|scRNA-seq leading technique charting molecular properties individual cells latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important|
GSE133536|single-nucleus|Homo sapiens; Mus musculus; Canis lupus familiaris|8|GSE133536_10X8x10Kcell25Kreads_human_exp_mat.tsv.gz(140MB), GSE133536_10X8x10Kcell25Kreads_human_metada.tsv.gz(6MB), GSE133536_10X8x10Kcell25Kreads_mouse_exp_mat.tsv.gz(138MB), GSE133536_10X8x10Kcell25Kreads_mouse_metada.tsv.gz(6MB)||Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (10X 8x 10K cells 25K reads)|scRNA-seq leading technique charting molecular properties individual latest methods scalable thousands enabling depth characterization sample composition without prior knowledge important differences|
